213.61.5.0/25,Akamai Technologies
108.167.149.226/32,google-digest.com
23.210.94.0/23,Akamai Technologies European
72.246.43.0/24,Akamai Technologies
64.65.176.224/28,Akamai Technologies
177.159.159.0/26,Akamai Technologies
23.206.4.0/22,Akamai Technologies European
80.169.184.112/28,Akamai Technologies Gmbh
173.223.176.0/20,Akamai International
96.17.144.0/24,Akamai Technologies
207.108.220.128/25,Akamai Technologies
37.228.111.0/25,Akamai Technologies
194.112.100.128/25,Akamai International BV
209.243.24.0/28,Akamai Technologies
192.80.13.0/24,Akamai
205.168.46.0/24,Akamai Technologies
64.9.224.0/19,Google
193.186.4.0/24,Google Switzerland GmbH
205.234.225.0/24,Akamai Technologies
63.146.69.0/24,Akamai Technologies
65.112.206.96/27,Akamai Technologies
172.227.80.0/20,Akamai Technologies European
62.208.193.192/26,Akamai Technologies
192.147.161.0/24,Akamai
23.37.64.0/19,Akamai Technologies
63.141.195.0/24,Akamai Technologies
192.204.11.0/24,Akamai
172.228.2.0/23,Akamai Technologies
195.59.210.0/26,Akamai International BV
23.33.192.0/20,Akamai Technologies
23.211.60.0/22,Akamai Technologies
184.85.228.0/22,Akamai Technologies
66.119.205.0/27,Akamai Technologies
184.28.218.0/23,Akamai Technologies
162.222.181.0/24,Google Cloud
64.232.198.0/24,Akamai Technologies (equinix)
157.238.77.0/26,Akamai
66.77.9.192/26,Akamai Technologies
95.101.36.0/22,Akamai Technologies
204.2.196.0/24,Akamai
208.34.43.128/25,Akamai Technologies
23.75.22.0/24,Akamai Technologies
64.132.83.224/28,Google
80.150.191.128/25,Akamai Technologies
206.15.76.0/28,Google
69.22.137.0/24,Akamai Technologies
184.30.64.0/19,Akamai Technologies
184.28.2.0/23,Akamai Technologies
23.214.32.0/19,Akamai Technologies
90.84.54.0/24,Akamai Technologies - machines connected to FT AS
195.59.0.64/27,Akamai International BV
89.207.224.0/21,Google Ireland Limited
216.113.197.192/28,Akamai Technologies
80.239.205.0/24,Akamai Technologies
